,Feitian JavaCOS A22 & A40,Nettle 2.0,OpenSSL 0.9.7 & 1.0.2g & 1.0.2k & 1.1.0e,WolfSSL 2.0rc1 & 3.9.0 & 3.10.2,Cryptix JCE 20050328,cryptlib 3.4.3 & 3.4.3.1,Botan 1.5.6 & 1.11.29 & 2.1.0,Nettle 3.2 & 3.3,NXP J2A080 & J2A081 & J3A081 & JCOP 41 V2.2.1,Gemalto GCX4 72K,Libgcrypt 1.6.0 & 1.6.5 & 1.7.6,Bouncy Castle 1.53 (Java),YubiKey NEO,Gemalto GXP E64,HSM Utimaco Security Server Se50,YubiKey 4 & 4 Nano,Libgcrypt 1.6.0 FIPS & 1.6.5 FIPS,GNU Crypto 2.0.1,SunRsaSign OpenJDK 1.8.0,Microsoft CryptoAPI & CNG & .NET,FlexiProvider 1.7p7,G&D SmartCafe 3.2,G&D SmartCafe 4.x & 6.0,HSM SafeNet Luna SA-1700,OpenSSL FIPS 2.0.12 & 2.0.14,Oberthur Cosmo 64,PolarSSL 0.10.0,Libgcrypt 1.7.6 FIPS,Crypto++ 5.6.0 & 5.6.3 & 5.6.5,PuTTY 0.67,NXP J2D081 & J2E145G,Bouncy Castle 1.54 (Java),mbedTLS 1.3.19 & 2.2.1 & 2.4.2,Infineon JTOP 80K,Oberthur Cosmo Dual 72K,PGPSDK 4,PGPSDK 4 FIPS,LibTomCrypt 1.17
1|0|001110,1586,14205,62160,24945,14336,18539,19489,18769,127433,655,34195,15868,370,812,9625,1198,19317,31954,15794,30998,14223,4139,91574,6137,18575,352,14314,152,41863,6299,73879,21462,57507,81720,1648,8474,13997,6235
1|0|001111,1865,14068,71121,28529,13914,21467,22441,21480,127646,797,39029,15553,324,1031,9440,720,22153,30626,15716,32603,14052,1507,30060,7079,21339,378,13917,155,44610,6008,71591,22769,55992,47858,1888,10181,13907,7134
1|0|010000,2089,13479,80821,32277,13514,24269,24936,24096,127548,948,43854,15219,344,1310,8890,359,24928,29511,15380,34907,13545,0,0,7923,24086,422,13619,202,47256,5859,69690,24281,54416,22690,2102,11812,14092,8003
1|0|010001,2247,13216,89630,36050,13207,26733,28223,26613,127245,962,48824,15077,298,1583,8745,118,27578,28241,14638,36996,13209,0,0,8609,26892,469,13422,225,50118,5987,67822,25540,53190,8191,2351,13783,13864,8854
1|0|010010,2532,12810,98427,39301,13048,29368,30951,29624,127321,1076,53417,14467,296,1825,8317,26,30267,26585,14419,38087,12807,0,0,9619,29328,510,13014,212,52922,5631,65366,26749,52172,2269,2611,15051,13750,9847
1|0|010011,2790,12518,106871,42775,12522,31936,33610,31919,126781,1159,57934,14110,310,2135,8202,6,33014,25708,14019,40620,12501,0,0,10251,32122,572,12627,208,55304,5425,63205,28126,50425,288,2899,16821,13972,10692
1|0|010100,2906,12281,115409,45790,12285,34622,36889,34698,126337,1271,62540,13482,293,2372,7991,0,35986,24677,13291,42310,12208,0,0,11327,34651,611,12253,232,57270,5304,61080,29045,48862,7,3080,18376,13850,11643
1|0|010101,3223,11907,123826,49621,11838,37034,38777,37350,119708,1361,67641,12978,266,2635,7465,0,38348,23728,12967,43716,11823,0,0,12343,37437,653,11979,238,59803,5170,59106,30487,47233,0,3311,19768,13711,12595
1|0|010110,3454,11568,132307,53110,11654,39486,42093,39958,112997,1443,72047,12400,280,2841,7363,0,41142,22551,12476,45578,11346,0,0,13052,39551,703,11307,247,62716,4934,56690,31636,46354,0,3578,21288,13356,13235
1|0|010111,3660,11247,140787,56485,11187,41873,44444,42239,105885,1507,76395,12185,242,3096,7432,0,43440,21633,11871,47443,11167,0,0,13867,42020,718,10924,255,65124,4849,55560,32855,44438,0,3670,23028,13428,14056
