,Feitian JavaCOS A22 & A40,Nettle 2.0,OpenSSL 0.9.7 & 1.0.2g & 1.0.2k & 1.1.0e,WolfSSL 2.0rc1 & 3.9.0 & 3.10.2,Cryptix JCE 20050328,cryptlib 3.4.3 & 3.4.3.1,Botan 1.5.6 & 1.11.29 & 2.1.0,Nettle 3.2 & 3.3,NXP J2A080 & J2A081 & J3A081 & JCOP 41 V2.2.1,Gemalto GCX4 72K,Libgcrypt 1.6.0 & 1.6.5 & 1.7.6,Bouncy Castle 1.53 (Java),YubiKey NEO,Gemalto GXP E64,HSM Utimaco Security Server Se50,YubiKey 4 & 4 Nano,Libgcrypt 1.6.0 FIPS & 1.6.5 FIPS,GNU Crypto 2.0.1,SunRsaSign OpenJDK 1.8.0,Microsoft CryptoAPI & CNG & .NET,FlexiProvider 1.7p7,G&D SmartCafe 3.2,G&D SmartCafe 4.x & 6.0,HSM SafeNet Luna SA-1700,OpenSSL FIPS 2.0.12 & 2.0.14,Oberthur Cosmo 64,PolarSSL 0.10.0,Libgcrypt 1.7.6 FIPS,Crypto++ 5.6.0 & 5.6.3 & 5.6.5,PuTTY 0.67,NXP J2D081 & J2E145G,Bouncy Castle 1.54 (Java),mbedTLS 1.3.19 & 2.2.1 & 2.4.2,Infineon JTOP 80K,Oberthur Cosmo Dual 72K,PGPSDK 4,PGPSDK 4 FIPS,LibTomCrypt 1.17
1|1|011010,4313,10324,164695,66125,10357,49198,52108,49439,0,1787,89868,10224,0,3248,7527,0,51124,0,10553,52402,10278,0,0,16078,49795,856,10266,301,72370,4525,0,36422,40408,0,0,27249,12749,16355
1|1|011011,4415,9916,173254,69077,9943,51340,54501,52231,0,1904,94362,9694,0,3357,7216,0,53565,0,9688,51051,9728,0,0,17045,52072,944,9938,303,72531,4343,0,35175,39428,0,0,28815,12665,17058
1|1|011100,4665,9572,180760,72357,9616,54104,56433,54258,0,1912,98046,9286,0,3202,7646,0,56074,0,9098,48936,9351,0,0,17801,54236,997,9776,279,69802,4053,0,34036,38139,0,0,30542,12413,18310
1|1|011101,4822,9366,189382,75584,9310,56307,59197,56245,0,2049,102633,8894,0,3066,7653,0,57795,0,8875,47479,9309,0,0,18537,56463,979,9206,233,67782,4068,0,33389,37019,0,0,31369,12112,18891
1|1|011110,5148,9057,196924,77878,8957,58232,61775,59048,0,2136,106183,8363,0,2955,7506,0,61183,0,7948,46225,8831,0,0,19264,58506,1013,8958,268,65800,3947,0,32027,35679,0,0,33269,11614,19846
1|1|011111,5361,8615,203838,81769,8663,60920,63877,61150,0,2171,110880,7897,0,2670,7488,0,63057,0,7835,44505,8711,0,0,20063,61185,1096,8760,233,63189,3706,0,30601,34432,0,0,34458,11454,20062
1|1|100000,5312,8270,203895,81522,8472,61056,64276,60744,0,2195,110934,7476,0,2486,7316,0,63087,0,7366,42867,8209,0,0,19910,60994,1054,8259,225,60921,3663,0,29779,33341,0,0,34470,11141,20215
1|1|100001,5107,8041,196962,78697,8008,58755,61543,59092,0,2158,106624,7045,0,2228,6949,0,60647,0,7013,40908,8196,0,0,19085,58815,1088,8112,205,58880,3518,0,28774,32245,0,0,33038,10954,19444
1|1|100010,4893,7741,189178,75442,7659,56847,59136,56650,0,2018,102417,6592,0,1976,6641,0,58245,0,6478,39780,7678,0,0,18774,56626,1025,7749,198,56189,3368,0,27779,30670,0,0,32086,10807,18843
1|1|100011,4654,7467,182092,72464,7381,54210,57149,54667,0,2042,98945,6285,0,1773,6547,0,56365,0,6250,38506,7528,0,0,17728,53806,942,7433,186,54461,3223,0,26583,29356,0,0,30282,10231,18062
1|1|100100,4370,7044,174079,69854,7138,52223,54782,51927,0,1891,94346,5926,0,1483,6192,0,54425,0,6021,36761,7107,0,0,17099,52112,906,7114,211,51664,3090,0,25292,28254,0,0,29140,10153,17171
1|1|100101,4373,6806,168260,67328,6848,49864,52520,50286,0,1892,91235,5608,0,1274,5944,0,51903,0,5616,35242,6732,0,0,16134,49693,873,6906,190,49924,3039,0,24333,27398,0,0,27840,9835,16760
1|1|100110,4211,6494,160196,64258,6570,48016,50353,47996,0,1696,87221,5292,0,1139,5789,0,49713,0,5350,33975,6617,0,0,15454,48267,869,6616,172,48203,2779,0,23153,25948,0,0,26612,9707,16293
1|1|100111,3890,6301,153198,61108,6185,45406,47956,45941,0,1629,83270,4935,0,899,5491,0,47351,0,4975,32315,6077,0,0,15114,45728,806,6248,184,45764,2812,0,22484,24945,0,0,25441,9247,15455
1|1|101000,3812,5825,146570,58514,6050,43912,45999,43648,0,1548,79463,4610,0,744,5354,0,45377,0,4780,30778,5887,0,0,14259,44013,779,6014,164,43457,2559,0,21248,23699,0,0,24094,9298,14732
1|1|101001,3614,5657,139452,55819,5759,41730,43885,41794,0,1487,75340,4463,0,608,5154,0,43283,0,4341,29475,5692,0,0,13421,41918,704,5753,169,41838,2580,0,20206,22539,0,0,22928,8887,13948
1|1|101010,3441,5272,133000,53172,5411,39412,41627,39938,0,1454,72252,4101,0,460,4864,0,41139,0,4087,27957,5502,0,0,13034,40064,708,5379,141,39984,2268,0,19338,21700,0,0,21600,8764,13335
1|1|101011,3232,4980,125375,50692,5107,37686,39356,37837,0,1370,68546,3875,0,386,4501,0,38714,0,3901,26602,5153,0,0,12373,37943,680,5094,148,38049,2267,0,18298,20468,0,0,20398,8483,12616
1|1|101100,3145,4820,118981,47970,4780,35748,37592,35739,0,1304,64969,3634,0,298,4322,0,37222,0,3636,25096,4878,0,0,11561,35591,676,4835,139,35494,2126,0,17407,19677,0,0,19229,8176,12122
1|1|101101,2942,4587,112801,45235,4690,33942,35535,33945,0,1198,61254,3450,0,243,3971,0,34835,0,3370,23431,4654,0,0,11026,33944,567,4732,145,33734,2004,0,16339,18331,0,0,17916,8186,11182
1|1|101110,2661,4234,105859,42315,4316,31698,33151,31786,0,1102,57171,3160,0,140,3760,0,32767,0,3064,22261,4399,0,0,10218,32064,571,4368,124,31723,1903,0,15468,17087,0,0,16841,7971,10598
1|1|101111,2637,4108,99350,39801,4049,29813,31156,29880,0,1065,54290,2923,0,122,3629,0,30803,0,2871,21018,4058,0,0,9766,30192,537,4035,101,30179,1731,0,14415,16297,0,0,15757,7769,9965
1|1|110000,2504,3801,93638,37313,3819,27882,29478,27899,0,1024,50800,2745,0,104,3304,0,28901,0,2633,19608,3824,0,0,9056,27964,483,3741,112,28100,1666,0,13470,15303,0,0,14804,7626,9370
1|1|110001,2290,3481,86374,34739,3586,25773,27255,26044,0,925,46899,2481,0,68,3105,0,26905,0,2459,18153,3658,0,0,8474,25978,469,3418,102,26050,1557,0,12621,14162,0,0,13401,7455,8619
1|1|110010,2016,3327,80318,32089,3336,24213,25298,23989,0,801,43476,2190,0,44,2912,0,24872,0,2268,16998,3219,0,0,7753,24228,434,3325,97,24054,1453,0,11690,13112,0,0,12261,7257,8070
1|1|110011,1885,2987,74050,29510,3062,22323,23106,22283,0,807,40389,2026,0,31,2678,0,23178,0,2060,15750,2966,0,0,7201,22408,370,3069,78,22141,1314,0,10842,12110,0,0,11136,7135,7455
1|1|110100,1774,2741,68493,27011,2758,20413,21489,20224,0,751,36778,1901,0,17,2376,0,21040,0,1947,14263,2781,0,0,6577,20344,384,2819,81,20276,1183,0,9931,11194,0,0,10080,6992,6809
1|1|110101,1673,2539,61757,24590,2490,18641,19405,18629,0,687,33646,1749,0,11,2219,0,19067,0,1666,13164,2539,0,0,5889,18687,314,2473,83,18228,1097,0,8947,10032,0,0,9004,6979,6059
1|1|110110,1486,2359,55608,22050,2384,16444,17514,16826,0,655,30121,1430,0,8,2032,0,17394,0,1474,11517,2195,0,0,5425,16623,298,2330,63,16794,1018,0,8209,9001,0,0,7692,6912,5502
1|1|110111,1338,2000,49311,19643,2053,14814,15601,14908,0,502,26969,1303,0,1,1733,0,15371,0,1389,10451,1959,0,0,4876,14872,250,2001,54,14743,858,0,7331,8257,0,0,6738,6879,4963
1|1|111000,1192,1752,43555,17325,1796,12980,13551,13060,0,443,23667,1139,0,3,1544,0,13187,0,1162,9201,1749,0,0,4208,13037,242,1837,48,13066,810,0,6322,7084,0,0,5808,6617,4418
1|1|111001,974,1573,37912,14979,1524,11319,11835,11195,0,417,20235,961,0,2,1364,0,11683,0,917,7959,1510,0,0,3595,11289,207,1515,47,11187,666,0,5484,6159,0,0,4525,6791,3829
1|1|111010,801,1305,31667,12741,1355,9504,9951,9562,0,350,17214,886,0,1,1161,0,9943,0,816,6712,1345,0,0,3131,9458,207,1302,39,9412,583,0,4598,5061,0,0,3634,6700,3180
1|1|111011,657,1030,25871,10164,1059,7692,8171,7739,0,272,13923,697,0,0,859,0,7957,0,651,5439,1025,0,0,2495,7835,145,1068,35,7616,429,0,3761,4217,0,0,2587,6508,2537
1|1|111100,516,826,19862,7958,779,5933,6328,5995,0,204,10857,549,0,0,734,0,6106,0,496,4190,854,0,0,2038,6094,81,823,23,5933,351,0,2964,3270,0,0,1540,6582,2008
1|1|111101,391,588,14305,5811,598,4384,4514,4278,0,163,7686,391,0,0,575,0,4442,0,372,2969,596,0,0,1328,4308,84,603,17,4034,249,0,2044,2338,0,0,531,6545,1465
1|1|111110,215,337,8495,3468,338,2577,2636,2479,0,82,4661,212,0,0,320,0,2611,0,200,1790,375,0,0,886,2628,40,369,14,2522,134,0,1247,1357,0,0,0,6645,832
1|1|111111,82,112,2711,1130,112,831,857,794,0,30,1532,81,0,0,93,0,836,0,62,569,120,0,0,274,855,17,119,4,908,57,0,380,494,0,0,0,6474,276
2|0|000000,0,20447,0,0,19797,0,0,0,0,0,0,20652,0,0,13106,0,0,112068,20419,1140,20060,0,0,0,0,0,20210,8,133,7150,0,824,80463,0,0,0,12936,0
2|0|000001,0,19691,0,0,19751,0,0,0,4689,0,0,20258,0,0,12487,0,0,81736,20348,3497,19765,0,0,0,0,0,19906,28,2735,8636,0,2381,78908,0,0,0,12873,0
2|0|000010,0,19378,0,0,19101,0,0,0,18433,0,0,19756,0,0,12450,0,0,70023,19893,5839,19205,0,0,0,0,0,19134,30,5934,8323,0,4004,77134,0,0,0,13055,0
2|0|000011,0,18672,0,0,18931,0,0,0,38149,0,0,19846,0,1,11827,0,0,63222,19723,8058,18673,402,0,0,0,0,18680,45,9222,8064,0,5552,75119,0,0,0,12942,0
2|0|000100,0,18326,0,0,18548,0,0,0,64128,0,0,19447,0,0,11921,0,0,57438,19348,10428,18664,3258,0,0,0,0,18471,70,12365,8114,0,7261,73995,0,0,0,13010,0
2|0|000101,0,17793,0,0,18085,0,0,0,90291,0,0,19076,0,8,11916,0,0,53267,19080,12687,17762,6462,0,0,0,0,18218,73,15512,7877,0,8747,71559,0,0,0,13285,0
2|0|000110,0,17746,0,0,17577,0,0,0,116670,0,0,18657,0,20,11340,0,0,49721,18616,14646,17688,9628,0,0,0,0,17524,88,18873,7702,0,10275,69708,0,0,0,13391,0
2|0|000111,0,17194,0,0,17132,0,0,0,141885,0,0,18499,0,33,10885,0,0,46093,18261,16689,17118,12887,0,0,0,0,17144,87,21736,7428,0,11574,68509,0,0,0,13575,0
2|0|001000,138,16852,0,1940,16655,1522,1520,1478,151181,65,2664,18148,0,77,10564,271,1515,43848,18167,18932,16607,13913,0,470,1489,27,16596,109,24665,7141,0,13203,66921,22231,135,0,13827,494
2|0|001001,420,16404,0,6016,16326,4368,4650,4379,151285,143,7992,17542,0,129,10477,853,4730,41154,17643,21191,16333,14216,0,1506,4481,71,16440,133,27769,7192,0,14578,65209,66007,387,199,13690,1590
2|0|001010,607,15922,0,9918,16164,7341,7841,7286,151181,251,13318,17545,0,195,10928,1438,7514,39069,17354,22968,15892,14144,0,2425,7488,144,16009,123,30683,6880,0,15738,63412,108970,659,1776,14111,2374
2|0|001011,883,15217,0,13893,15443,10276,10809,10183,147019,355,18806,17027,0,287,10805,1888,10713,37136,17117,25125,15432,12895,0,3386,10214,168,15589,144,33596,6746,0,17377,61688,140842,904,3473,14041,3432
2|0|001100,1136,15155,0,17613,14971,12976,13749,13000,138981,416,23622,16785,0,450,10191,1908,13697,35369,16749,26861,15379,9782,0,4271,13069,211,15117,141,36263,6626,0,18805,60420,141606,1182,5216,14061,4380
2|0|001101,1365,14738,0,21253,14634,15958,16656,16126,131430,575,29081,16423,0,558,9997,1635,16493,33844,16338,28931,14815,7090,0,5145,15853,299,14834,150,38977,6308,0,20038,58951,119234,1374,6980,14056,5280
2|0|001110,1643,14146,0,24931,14371,18742,19643,18742,127309,652,33633,16126,0,720,9609,1151,19381,31772,15992,30965,14265,4108,0,6134,18860,313,14462,157,41809,6238,0,21678,57432,81712,1649,8542,14252,6151
2|0|001111,1893,14136,0,28489,14125,21606,22377,21327,127197,780,38743,15810,0,1035,9485,701,22289,30273,15650,32817,13918,1357,0,7159,21487,372,14066,173,44075,6197,0,23033,55994,47381,1903,10344,14347,7214
2|0|010000,2078,13480,0,32447,13432,24059,25272,24293,127246,863,43530,15060,0,1252,9018,335,24748,29265,15398,34966,13449,0,0,7891,24073,444,13531,181,47459,5783,0,24474,54987,22519,2104,11880,13961,7993
2|0|010001,2264,13296,0,35428,13185,26874,27960,27138,126951,956,48721,14824,0,1505,8622,110,27771,28154,15007,36692,13235,0,0,8766,26566,470,13308,196,50021,5678,0,25393,53069,8371,2301,13492,14213,9052
2|0|010010,2592,13101,0,39407,13108,29695,30676,29611,127245,1054,53157,14329,0,1798,8471,37,30241,26893,14369,38627,12704,0,0,9425,29422,572,13003,207,52390,5695,0,26658,51880,2295,2501,14932,14049,9884
2|0|010011,2835,12641,0,42296,12546,32265,33518,31977,127548,1195,57988,14055,0,2112,8257,1,33199,25946,13948,40371,12535,0,0,10506,32134,527,12499,240,55172,5407,0,27828,50190,282,2876,16568,13915,10744
2|0|010100,3029,12189,0,46414,12003,34659,36420,34896,126433,1241,62944,13400,0,2360,7746,0,35968,24752,13572,42382,12270,0,0,11319,35021,630,12250,235,57713,5291,0,29156,48658,4,3013,18275,13722,11512
2|0|010101,3151,12042,0,49446,11768,37214,38796,37257,119934,1358,67434,13130,0,2571,7472,0,38360,23667,12998,43588,11831,0,0,12080,37371,655,11904,241,60162,5203,0,30516,47750,0,3305,19840,13593,12534
2|0|010110,3359,11594,0,52726,11595,39580,41563,39613,112923,1404,71600,12554,0,2805,7517,0,40761,22658,12405,46122,11568,0,0,12831,39797,677,11422,268,62316,5004,0,31436,46360,0,3483,21175,13598,13205
2|0|010111,3648,11148,0,56255,11122,42100,44611,41969,105629,1579,76771,12053,0,3053,7638,0,43525,21855,12136,47414,11034,0,0,13645,42236,720,11109,269,65644,4912,0,33098,44986,0,3762,22732,13562,13998
2|0|011000,3837,10897,0,59730,10768,44346,46813,44418,99375,1621,80617,11485,0,3124,7358,0,46323,20748,11594,49351,10787,0,0,14464,44479,785,10621,302,67794,4762,0,34338,43408,0,3989,24373,12852,15099
2|0|011001,4006,10727,0,62997,10470,46686,49188,47407,92553,1684,85320,10957,0,3236,7410,0,48793,20117,10957,50812,10391,0,0,15545,47105,810,10525,268,70067,4517,0,35083,42120,0,4178,25781,12974,15768
2|0|011010,4316,10383,0,66057,10095,49268,51942,49666,85360,1740,90349,10215,0,3246,7507,0,50909,18830,10328,52355,10225,0,0,16185,49466,851,10139,255,72772,4477,0,36137,40729,0,4246,27162,12869,16421
2|0|011011,4381,9866,0,69114,10077,51801,54348,52054,81846,1952,94011,9680,0,3332,7515,0,53506,18165,9536,50593,9887,0,0,16886,52354,883,9827,271,72776,4320,0,34953,39403,0,4566,28802,12331,17318
2|0|011100,4665,9559,0,72605,9528,53396,57068,54584,81917,1979,98258,9372,0,3225,7606,0,56159,17504,9281,49449,9620,0,0,17611,54709,942,9544,272,69973,4193,0,34044,37922,0,4755,30200,11935,18023
2|0|011101,4909,8866,0,75443,9223,55949,59726,56534,81996,2013,102087,8837,0,3011,7574,0,58499,16794,8826,47530,9158,0,0,18691,56463,972,9203,259,68087,3987,0,33122,36694,0,4969,31434,12098,19086
2|0|011110,5085,8861,0,78700,8872,58532,61999,59355,82236,2177,105801,8400,0,2910,7601,0,60946,15995,8200,46184,8964,0,0,19065,58562,1037,8763,227,65548,3870,0,31662,35461,0,5088,32686,11932,19418
2|0|011111,5354,8552,0,82013,8537,60979,64203,61269,81677,2214,110726,7969,0,2652,7453,0,63003,15240,7828,44348,8622,0,0,20044,61734,1088,8578,245,63356,3797,0,30602,34877,0,5338,34268,11495,20512
2|0|100000,5250,8339,0,81680,8343,60817,63662,61116,81331,2165,110094,7446,0,2400,7312,0,62894,14797,7374,42637,8288,0,0,20286,60946,1107,8121,234,60952,3651,0,29860,33095,0,5426,34129,11169,20293
2|0|100001,5193,8026,0,78057,7930,59362,60978,58978,82149,2148,106447,6947,0,2227,7038,0,61004,14095,7084,41431,7972,0,0,19373,58929,1072,7997,235,58452,3560,0,28626,31747,0,5137,33177,10970,19715
2|0|100010,4972,7695,0,75473,7519,56738,59703,56752,84941,2029,102922,6673,0,2016,6742,0,58341,13417,6696,39870,7740,0,0,18420,56378,986,7749,210,56752,3388,0,27758,30697,0,4848,31898,10774,19036
2|0|100011,4708,7465,0,72878,7446,54281,57020,54521,84875,1921,98745,6380,0,1784,6540,0,56326,12665,6327,38112,7470,0,0,17851,54788,981,7395,243,53748,3266,0,26287,29870,0,4750,30374,10546,18189
2|0|100100,4659,7167,0,70172,7182,51904,54573,52344,84737,1912,95268,6068,0,1474,6275,0,54246,12485,5947,36554,7183,0,0,17046,52536,940,7306,201,51847,3124,0,25244,28578,0,4550,29562,10236,17652
2|0|100101,4286,6803,0,67035,6942,50324,52636,50085,84788,1799,90474,5553,0,1283,6060,0,51412,11487,5722,35300,7004,0,0,16809,50061,877,6744,206,50490,2938,0,24464,27212,0,4345,28108,9834,16751
2|0|100110,4109,6537,0,64310,6490,47690,50145,48167,85089,1738,86745,5154,0,1118,5750,0,49555,11042,5212,33657,6472,0,0,15716,48067,843,6558,158,47828,2873,0,23207,26301,0,4229,26480,9808,16013
2|0|100111,3965,6251,0,61398,6375,46109,48161,46067,84744,1695,82842,5006,0,986,5389,0,47651,10296,4913,32299,6373,0,0,14817,45988,841,6222,178,45780,2708,0,22234,24983,0,4010,25381,9534,15132
2|0|101000,3675,5800,0,58222,5984,44019,45335,43993,82133,1547,79415,4710,0,767,5277,0,45496,9896,4542,30745,6014,0,0,14206,44186,759,5836,149,43949,2581,0,21213,23813,0,3682,24383,9182,14767
2|0|101001,3637,5785,0,55452,5754,41800,43894,41947,78881,1463,75257,4406,0,603,5147,0,42933,9300,4453,29330,5600,0,0,13507,41971,758,5675,158,41810,2572,0,20247,22749,0,3586,22850,9042,13707
2|0|101010,3529,5532,0,52791,5467,39715,41834,39771,79607,1377,72228,4134,0,457,4904,0,41168,8850,4118,28025,5344,0,0,12968,39836,692,5369,175,39767,2319,0,19256,21458,0,3464,21488,8668,13280
2|0|101011,3269,5314,0,50420,5053,37423,39606,37891,79246,1350,68569,3860,0,362,4538,0,38859,8504,3850,26498,5150,0,0,12400,37680,660,5040,139,37652,2245,0,18457,20415,0,3283,20464,8419,12693
2|0|101100,3099,4806,0,47608,4824,35342,37323,35513,79207,1283,64889,3655,0,314,4293,0,36899,7882,3596,24922,4865,0,0,11726,35479,645,5123,129,35533,2127,0,17161,19536,0,3067,19089,8272,11946
2|0|101101,2920,4586,0,45063,4729,33375,35610,33670,79118,1247,61192,3319,0,221,4150,0,34994,7351,3351,23535,4566,0,0,10962,33496,562,4542,145,33861,1950,0,16291,18326,0,2944,18195,8349,11372
2|0|101110,2708,4325,0,42305,4183,31828,33301,32026,79057,1166,57677,3233,0,159,3925,0,32948,6937,3142,22302,4320,0,0,10357,31909,540,4288,141,31806,1916,0,15493,17624,0,2821,17222,8091,10685
2|0|101111,2601,4112,0,39586,3953,29774,31337,30317,79055,1094,54186,2923,0,123,3479,0,30587,6384,2933,20805,4094,0,0,9723,30040,534,3926,115,29608,1762,0,14475,16212,0,2632,15541,7624,9992
2|0|110000,2530,3813,0,37378,3899,28040,29193,27832,77828,960,50375,2716,0,85,3308,0,28781,6087,2714,19767,3963,0,0,9240,27932,512,3822,120,27570,1599,0,13652,14959,0,2468,14569,7554,9339
2|0|110001,2294,3534,0,35022,3478,25765,27073,26130,67612,939,47184,2527,0,64,3122,0,26771,5540,2582,18171,3520,0,0,8501,26240,436,3511,82,26003,1511,0,12499,13970,0,2307,13469,7358,8716
2|0|110010,2052,3318,0,32092,3261,24167,25262,24391,57843,928,43391,2294,0,33,2944,0,24843,5170,2289,16933,3275,0,0,7727,24016,388,3238,95,24163,1437,0,11651,13027,0,2116,12416,7541,7985
2|0|110011,1904,2900,0,29306,3031,22208,23350,22348,46803,822,40489,2100,0,32,2550,0,23035,4650,2160,15615,2972,0,0,7301,22336,382,3097,102,22393,1337,0,10889,12019,0,1916,11202,7212,7459
2|0|110100,1728,2709,0,26971,2634,20539,21340,20480,36456,718,37122,1853,0,18,2412,0,21136,4255,1890,14164,2788,0,0,6705,20061,364,2832,69,20498,1217,0,9750,11143,0,1763,10148,7091,6654
2|0|110101,1585,2582,0,24876,2539,18527,19361,18732,26002,643,33986,1748,0,8,2189,0,19200,3872,1664,12713,2552,0,0,5977,18615,304,2521,54,18501,1118,0,9081,10025,0,1587,8993,7002,6209
2|0|110110,1460,2310,0,22069,2332,16546,17522,16475,15368,624,30006,1510,0,7,2061,0,17387,3416,1464,11678,2334,0,0,5255,16785,303,2229,59,16692,1033,0,8137,8974,0,1464,7846,6942,5596
2|0|110111,1323,2063,0,19584,2079,14789,15621,14668,5106,551,27043,1402,0,5,1735,0,15404,3052,1385,10292,2051,0,0,4805,15220,298,2073,50,14829,921,0,7293,8151,0,1284,6750,6822,4856
2|0|111000,1065,1823,0,17385,1800,13090,13869,13101,0,459,23908,1100,0,1,1561,0,13438,2644,1137,9269,1785,0,0,4246,13025,249,1737,61,12878,732,0,6269,7117,0,1112,5698,6749,4376
2|0|111001,987,1538,0,14964,1497,11208,11874,11398,0,398,20596,978,0,0,1385,0,11659,2194,984,7947,1524,0,0,3655,11390,202,1463,40,11143,706,0,5382,6043,0,1012,4601,6631,3673
2|0|111010,865,1307,0,12778,1210,9623,10095,9516,0,361,17306,803,0,0,1150,0,9785,1983,829,6550,1357,0,0,3122,9639,164,1310,31,9549,555,0,4586,5198,0,834,3688,6600,3163
2|0|111011,724,1067,0,10246,1053,7776,8040,7745,0,289,13965,678,0,0,900,0,8207,1552,669,5393,1113,0,0,2553,7646,124,1071,30,7808,430,0,3726,4251,0,669,2480,6693,2598
2|0|111100,522,873,0,7872,784,5973,6339,5910,0,220,10841,520,0,0,739,0,6170,1264,528,4234,741,0,0,1959,6166,120,811,22,6060,362,0,2940,3225,0,539,1549,6498,1990
2|0|111101,342,575,0,5698,559,4250,4465,4179,0,156,7728,374,0,0,495,0,4359,830,383,2930,574,0,0,1346,4209,81,609,25,4104,229,0,2042,2372,0,359,496,6570,1476
2|0|111110,218,334,0,3438,337,2588,2735,2524,0,98,4621,215,0,0,319,0,2618,506,248,1795,350,0,0,811,2504,47,351,13,2496,155,0,1215,1374,0,231,0,6422,847
2|0|111111,80,119,0,1118,110,867,875,841,0,23,1490,71,0,0,111,0,810,167,62,594,126,0,0,267,901,9,132,2,845,58,0,428,481,0,68,0,6428,284
2|1|000000,0,20398,0,0,20279,0,0,0,0,0,0,20548,0,0,13045,0,0,2,20471,1229,20261,0,0,0,0,0,20150,6,149,7071,0,767,80362,0,0,0,12932,0
2|1|000001,0,19616,0,0,19381,0,0,0,0,0,0,20433,0,0,12673,0,0,0,20360,3478,19539,0,0,0,0,0,19679,27,2670,8602,0,2394,78738,0,0,0,12913,0
2|1|000010,0,19198,0,0,19355,0,0,0,0,0,0,20107,0,0,12423,0,0,0,19975,5876,19266,0,0,0,0,0,19377,37,5906,8287,0,4146,77223,0,0,0,12933,0
2|1|000011,0,18675,0,0,18719,0,0,0,0,0,0,19767,0,0,12027,0,0,0,19725,7964,18838,0,0,0,0,0,18760,35,9183,8246,0,5477,75266,0,0,0,13274,0
2|1|000100,0,18534,0,0,18360,0,0,0,0,0,0,19328,0,7,11911,0,0,0,19656,10102,18470,0,0,0,0,0,18352,51,12275,8128,0,7119,73114,0,0,0,13236,0
2|1|000101,0,18061,0,0,18013,0,0,0,0,0,0,19362,0,13,11820,0,0,0,19134,12403,17957,0,0,0,0,0,18205,64,15718,7745,0,8671,71739,0,0,0,13321,0
2|1|000110,0,17316,0,0,17643,0,0,0,0,0,0,18755,0,15,11352,0,0,1,18829,14920,17537,0,0,0,0,0,17532,73,18530,7571,0,10287,70450,0,0,0,13246,0
2|1|000111,0,17124,0,0,17353,0,0,0,0,0,0,18300,0,52,11140,0,0,0,18513,16928,17044,0,0,0,0,0,17225,88,21511,7477,0,11664,68593,0,0,0,13468,0
2|1|001000,133,16839,0,2021,16699,1551,1566,1498,0,57,2768,18144,0,78,10695,295,1553,0,18124,18890,16551,0,0,482,1427,39,16671,113,24222,7391,0,13258,67094,21945,0,0,13716,540
2|1|001001,392,16243,0,6002,16315,4456,4749,4467,0,148,7960,17856,0,130,10582,809,4612,0,17729,21165,16396,0,0,1499,4421,65,16351,111,27912,7081,0,14592,64921,65758,0,194,13632,1507
2|1|001010,621,15788,0,9973,16175,7378,7827,7450,0,280,13168,17581,0,196,10915,1458,7606,0,17436,23169,15879,0,0,2368,7430,119,15802,131,30406,7046,0,15729,63667,108969,0,1756,13937,2488
2|1|001011,895,15627,0,13723,15702,10107,10851,10350,0,366,18124,17004,0,305,10660,1843,10870,0,17152,25205,15640,0,0,3280,10030,175,15448,135,33353,6681,0,17252,62231,142087,0,3387,13937,3326
2|1|001100,1124,15320,0,17607,15236,13028,13803,13171,0,516,23813,16678,0,420,10530,1951,13669,0,16912,27004,15154,0,0,4248,12840,202,15039,170,36287,6638,0,18923,60784,141818,0,5144,14237,4314
2|1|001101,1402,14711,0,21166,14765,15713,16890,15800,0,533,28580,16213,0,589,10168,1628,16529,0,16466,29191,14877,0,0,5223,16035,266,14713,176,38980,6552,0,20342,59167,119660,0,6917,14078,5269
2|1|001110,1615,14539,0,24756,14286,18515,19527,18871,0,698,33895,15960,0,806,9547,1164,19415,0,15878,31170,14547,0,0,6073,18886,346,14416,187,42122,6282,0,21707,57880,81950,0,8534,13958,6340
2|1|001111,1951,13864,0,28810,13803,21312,22285,21564,0,801,39216,15543,0,1009,9194,738,22361,0,15567,32914,13919,0,0,7062,21326,405,13874,198,44079,5984,0,23092,56104,48068,0,10228,14239,7039
2|1|010000,2139,13622,0,32270,13555,24067,25206,24272,0,870,43789,15206,0,1266,8701,349,24902,0,15168,34916,13539,0,0,7926,24231,418,13748,198,47222,5886,0,24254,54623,22776,0,11985,14040,7993
2|1|010001,2357,13364,0,36053,13273,26884,28138,26607,0,936,48524,14605,0,1551,8813,131,27792,1,14803,36725,13264,0,0,8858,27062,421,13340,181,49760,5737,0,25433,52812,8244,0,13598,14049,9049
2|1|010010,2591,12991,0,39605,12978,29231,30581,29307,0,1077,53393,14460,0,1832,8319,28,30197,0,14363,39005,13025,0,0,9681,29707,534,12785,218,52754,5728,0,26699,51708,2325,0,15283,14099,9672
2|1|010011,2743,12572,0,42757,12445,32021,33791,32059,0,1196,57802,13880,0,2060,8027,4,32996,0,14152,40356,12521,0,0,10359,32222,536,12439,218,55267,5520,0,28091,50709,284,0,16600,14069,10775
2|1|010100,2891,12197,0,46407,12153,34817,36568,34724,0,1320,62420,13442,0,2490,7765,0,35532,0,13549,42386,12451,0,0,11350,34964,612,12177,241,57700,5347,0,29129,48715,2,0,18388,13930,11519
2|1|010101,3279,11770,0,49760,11578,37060,38994,36883,0,1391,67949,13181,0,2584,7513,0,38527,0,12941,43564,11784,0,0,11998,37360,666,11869,259,60026,5149,0,30549,47400,0,0,20011,13494,12246
